path,title_len,meta_len,h1_count,h2_count,h3_count,word_count,canonical,canonical_ok,canonical_abs,robots,is_noindex,has_og_image,og_image_abs,img_count,img_missing_wh,img_missing_alt,amazon_img_count,amazon_missing_wh,img_lazy,img_non_lazy,blog_out_links,app_links,external_links,indegree,click_depth,in_sitemap,broken_blog_links,weak_anchor_count,anchor_count,cta_anchor_count,has_blogposting,has_breadcrumb_schema,has_preconnect
/blog/mejores-auriculares-running,48,144,1,8,12,1619,https://www.correrjuntos.com/blog/mejores-auriculares-running,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,10,5,33,28,1,1,,3,57,2,1,1,1
/blog/mejores-bastones-trail-running,61,146,1,9,22,2420,https://www.correrjuntos.com/blog/mejores-bastones-trail-running,1,1,"index, follow",0,1,1,13,10,1,0,0,11,2,13,5,34,2,1,0,,4,58,2,1,1,0
/blog/mejores-bcaas-runners,52,154,1,10,14,3347,https://www.correrjuntos.com/blog/mejores-bcaas-runners,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,7,7,27,2,1,0,/blog/nutricion-maraton-guia-completa,3,56,4,1,1,1
/blog/mejores-bebidas-hidratacion-running,64,153,1,11,12,1630,https://www.correrjuntos.com/blog/mejores-bebidas-hidratacion-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,10,5,17,2,1,0,/blog/mejores-geles-energia-running | /blog/nutricion-maraton-guia-completa,3,57,2,1,1,0
/blog/mejores-calleras-crossfit,60,125,1,19,25,1257,https://www.correrjuntos.com/blog/mejores-calleras-crossfit,1,1,"index, follow",0,1,1,13,5,1,5,0,11,2,9,4,23,2,1,1,,4,53,1,1,1,1
/blog/mejores-colagenos-runners,55,148,1,10,14,3374,https://www.correrjuntos.com/blog/mejores-colagenos-runners,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,7,7,24,2,1,0,/blog/nutricion-maraton-guia-completa,3,53,4,1,1,1
/blog/mejores-creatinas-running,60,153,1,9,16,3317,https://www.correrjuntos.com/blog/mejores-creatinas-running,1,1,"index, follow",0,1,1,13,0,1,10,0,11,2,7,6,31,5,1,1,/blog/nutricion-maraton-guia-completa,4,59,3,1,1,1
/blog/mejores-garmin-running,61,154,1,5,9,1903,https://www.correrjuntos.com/blog/mejores-garmin-running,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,5,5,30,2,1,0,,4,52,2,1,1,1
/blog/mejores-geles-energeticos-running,63,159,1,11,9,1847,https://www.correrjuntos.com/blog/mejores-geles-energeticos-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,5,16,8,1,0,/blog/nutricion-maraton-guia-completa,3,56,2,1,1,0
/blog/mejores-magnesios-runners,55,190,1,10,14,3192,https://www.correrjuntos.com/blog/mejores-magnesios-runners,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,7,7,27,3,1,0,/blog/nutricion-maraton-guia-completa,3,56,4,1,1,1
/blog/mejores-multivitaminicos-runners,63,152,1,11,14,2998,https://www.correrjuntos.com/blog/mejores-multivitaminicos-runners,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,7,5,24,2,1,0,/blog/nutricion-maraton-guia-completa,3,54,2,1,1,1
/blog/mejores-omega-3-runners,58,155,1,9,16,3414,https://www.correrjuntos.com/blog/mejores-omega-3-runners,1,1,"index, follow",0,1,1,13,0,1,10,0,11,2,7,6,30,4,1,0,/blog/nutricion-maraton-guia-completa,4,58,3,1,1,1
/blog/mejores-proteinas-running,60,150,1,9,16,3799,https://www.correrjuntos.com/blog/mejores-proteinas-running,1,1,"index, follow",0,1,1,13,0,1,10,0,11,2,7,6,30,2,1,0,/blog/nutricion-maraton-guia-completa,3,58,3,1,1,1
/blog/mejores-recuperadores-running,58,148,1,11,13,1883,https://www.correrjuntos.com/blog/mejores-recuperadores-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,5,18,2,1,0,/blog/nutricion-maraton-guia-completa,3,58,2,1,1,0
/blog/mejores-relojes-gps-running,58,156,1,10,17,2802,https://www.correrjuntos.com/blog/mejores-relojes-gps-running,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,11,5,30,8,1,0,,4,61,2,1,1,1
/blog/mejores-rutas-correr-barcelona,51,151,1,11,17,2802,https://www.correrjuntos.com/blog/mejores-rutas-correr-barcelona,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,6,11,8,1,1,,3,50,2,1,1,1
/blog/mejores-rutas-correr-madrid,55,145,1,11,17,2912,https://www.correrjuntos.com/blog/mejores-rutas-correr-madrid,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,6,11,16,1,1,,3,51,2,1,1,1
/blog/mejores-rutas-correr-malaga,62,151,1,10,18,2697,https://www.correrjuntos.com/blog/mejores-rutas-correr-malaga,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,9,15,7,1,1,,3,57,2,1,1,0
/blog/mejores-rutas-correr-sevilla,63,142,1,10,17,2757,https://www.correrjuntos.com/blog/mejores-rutas-correr-sevilla,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,10,7,15,10,1,1,,3,51,2,1,1,0
/blog/mejores-rutas-correr-valencia,65,143,1,11,17,2718,https://www.correrjuntos.com/blog/mejores-rutas-correr-valencia,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,6,11,7,1,1,,3,49,2,1,1,1
/blog/mejores-superficies-para-correr,53,154,1,11,14,3000,https://www.correrjuntos.com/blog/mejores-superficies-para-correr,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,4,13,2,1,0,/blog/mejores-zapatillas-running | /blog/zapatillas-trail-running,3,49,1,1,1,1
/blog/mejores-suplementos-runners,53,154,1,13,18,2869,https://www.correrjuntos.com/blog/mejores-suplementos-runners,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,15,7,24,33,1,1,,4,71,2,1,1,1
/blog/mejores-zapatillas-hyrox,49,137,1,9,14,2211,https://www.correrjuntos.com/blog/mejores-zapatillas-hyrox,1,1,"index, follow",0,1,1,12,9,1,0,0,10,2,7,5,32,9,1,0,/blog/mejores-zapatillas-running,4,60,2,1,1,0
/blog/mejores-zapatillas-placa-carbono,54,160,1,9,17,2697,https://www.correrjuntos.com/blog/mejores-zapatillas-placa-carbono,1,1,"index, follow",0,1,1,13,0,1,10,0,11,2,8,6,30,5,1,0,,4,58,2,1,1,1
/blog/mejores-zapatillas-running-asfalto,59,151,1,10,18,2526,https://www.correrjuntos.com/blog/mejores-zapatillas-running-asfalto,1,1,"index, follow",0,1,1,13,0,1,10,0,11,2,21,6,30,56,1,1,,4,77,2,1,1,1
/blog/mejores-zapatillas-running-baratas,65,145,1,11,21,4843,https://www.correrjuntos.com/blog/mejores-zapatillas-running-baratas,1,1,"index, follow",0,1,1,11,0,1,7,0,9,2,13,5,27,10,1,1,,4,65,2,1,1,1
/blog/mejores-zapatillas-running-mujer,52,154,1,11,23,4303,https://www.correrjuntos.com/blog/mejores-zapatillas-running-mujer,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,12,5,33,3,1,1,,4,64,2,1,1,1
/blog/mejores-zapatillas-running-principiantes,51,144,1,12,22,2609,https://www.correrjuntos.com/blog/mejores-zapatillas-running-principiantes,1,1,"index, follow",0,1,1,9,0,1,6,0,7,2,9,5,20,33,2,1,,3,56,2,1,1,1
/blog/mejores-zapatillas-running-sobrepeso,64,153,1,12,22,4650,https://www.correrjuntos.com/blog/mejores-zapatillas-running-sobrepeso,1,1,"index, follow",0,1,1,10,0,1,7,0,8,2,14,5,26,3,1,1,,4,67,2,1,1,1
/blog/mejores-zapatillas-trail-running,47,150,1,9,17,1695,https://www.correrjuntos.com/blog/mejores-zapatillas-trail-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,4,14,5,1,0,/blog/como-empezar-trail-running,3,54,1,1,1,1
/blog/mochilas-trail-running,59,148,1,5,9,1812,https://www.correrjuntos.com/blog/mochilas-trail-running,1,1,"index, follow",0,1,1,11,0,1,8,0,9,2,4,5,30,2,1,0,,4,51,2,1,1,1
/blog/motivacion-para-correr,61,145,1,17,6,2751,https://www.correrjuntos.com/blog/motivacion-para-correr,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,14,5,19,11,1,0,,5,64,2,1,1,1
/blog/navegacion-gps-trail-running,57,152,1,10,17,1848,https://www.correrjuntos.com/blog/navegacion-gps-trail-running,1,1,"index, follow",0,1,1,7,0,1,0,0,5,2,23,5,14,9,1,0,,3,62,2,1,1,1
/blog/new-balance-1080-vs-hoka-clifton,59,145,1,10,14,1677,https://www.correrjuntos.com/blog/new-balance-1080-vs-hoka-clifton,1,1,"index, follow",0,1,1,5,0,1,2,0,3,2,23,5,12,12,1,0,,3,60,2,1,1,1
